NMDS1,NMDS2,plant.year,year,age
0.128231813,0.127684897,2015,2019,4
0.302725408,0.142271303,2015,2019,4
0.378262089,-0.092808572,2015,2019,4
0.41666657,0.481813728,2015,2019,4
0.364365184,-0.018811808,2015,2019,4
0.169547301,0.258393667,2015,2019,4
0.336183442,-0.82264692,2016,2019,3
0.330129289,-0.859459853,2016,2019,3
0.415061522,-0.651949864,2016,2019,3
0.26409458,-0.55526174,2016,2019,3
0.083498358,-0.358366945,2016,2019,3
-0.100634568,-0.303336269,2016,2019,3
0.207669457,-0.370253878,2016,2019,3
0.103193813,-0.69994919,2016,2019,3
0.325825589,-0.56537564,2016,2019,3
-0.093778765,-0.332277117,2016,2019,3
-0.131741893,-0.47329399,2016,2019,3
0.039432442,-0.458627462,2016,2019,3
-0.023469576,-0.267249754,2016,2019,3
0.290331827,-0.392247059,2016,2019,3
0.183132742,-0.332640714,2016,2019,3
0.192075224,0.809838252,2016,2019,3
0.20424918,-0.657518258,2016,2019,3
0.211821668,-0.505263339,2016,2019,3
0.122278816,-0.959687435,2016,2019,3
0.030282101,-0.654367249,2016,2019,3
0.050991204,-0.311469867,2016,2019,3
0.286841076,-0.263411953,2016,2019,3
-0.086770381,-0.569951904,2016,2019,3
0.046158121,-0.402717808,2016,2019,3
0.799042705,-0.164395806,2014,2020,6
0.510600179,-0.007095505,2014,2020,6
0.84722154,0.127295055,2014,2020,6
0.691396978,0.284801971,2014,2020,6
1.118559953,0.318576789,2014,2020,6
0.777731678,-0.102443972,2014,2020,6
0.941392153,0.113917343,2014,2020,6
0.734985417,0.094656365,2014,2020,6
0.612115263,-0.223324207,2014,2020,6
0.606237572,-0.022519002,2014,2020,6
1.255137357,0.07171419,2014,2020,6
1.270767211,-0.008664475,2014,2020,6
0.864002009,0.148995601,2014,2020,6
0.745663134,0.561279137,2014,2020,6
1.264832048,-0.050121406,2014,2020,6
1.485342528,0.167055937,2014,2020,6
1.303791331,0.008406239,2014,2020,6
1.270315898,0.123270431,2014,2020,6
0.905650277,0.140652544,2014,2020,6
1.401330973,0.104176672,2014,2020,6
0.294538056,-0.368871382,2014,2020,6
0.649553358,-0.190378375,2014,2020,6
0.67283836,0.251029843,2014,2020,6
0.785881414,0.072792377,2014,2020,6
0.682235432,-0.061626097,2015,2020,5
0.646639034,0.03742057,2015,2020,5
0.56386162,-0.137153198,2015,2020,5
0.486865533,-0.006759608,2015,2020,5
0.787569582,0.251759333,2015,2020,5
0.652742059,0.113051274,2015,2020,5
0.704497993,0.058856749,2015,2020,5
0.698335176,0.244603967,2015,2020,5
0.247347104,0.510610996,2015,2020,5
0.362812317,0.012244984,2015,2020,5
0.656444587,-0.063758407,2015,2020,5
0.606190981,0.14624356,2015,2020,5
0.648736521,-0.116822018,2015,2020,5
0.872689318,-0.18816055,2015,2020,5
0.772577025,-0.030417676,2015,2020,5
0.410911276,0.032398276,2015,2020,5
0.40134792,-0.093148862,2015,2020,5
0.824215134,0.047043719,2015,2020,5
0.595253843,0.082630884,2015,2020,5
0.801093315,0.231286427,2015,2020,5
0.28247402,-0.02741369,2015,2020,5
0.393166042,0.090069905,2015,2020,5
0.594513992,0.033020396,2015,2020,5
0.881431924,-0.09742166,2015,2020,5
0.561675593,-0.243753389,2016,2020,4
0.48740657,0.396120925,2016,2020,4
0.65063916,-0.655843599,2016,2020,4
0.506892291,-0.372889067,2016,2020,4
0.435302757,-0.453218846,2016,2020,4
0.458634153,-0.591780831,2016,2020,4
0.373940844,-0.431416386,2016,2020,4
0.487592604,0.281903992,2016,2020,4
0.378536125,-0.612305527,2016,2020,4
0.418321375,-0.352150755,2016,2020,4
0.255285204,-0.253675101,2016,2020,4
0.179669996,-0.143310835,2016,2020,4
0.429687131,-0.256566143,2016,2020,4
0.333460509,-0.286070124,2016,2020,4
0.336923138,-0.522947943,2016,2020,4
0.294125645,-0.476727437,2016,2020,4
0.099605015,-0.621221098,2016,2020,4
0.462249442,-0.302460633,2016,2020,4
0.441853003,-0.300693138,2016,2020,4
0.642459711,-0.360339093,2016,2020,4
0.024466836,-0.576753085,2016,2020,4
0.119220385,-0.164720975,2016,2020,4
0.088217899,-0.432755712,2016,2020,4
0.278083225,0.026022415,2016,2020,4
