site,plant.year,year,plot,abg,decomp,floral.cov,alpha.hill1,age,plant.height,SLA,seed.mass,FDis,ANDGER
17,2016,2019,3,336,0.002298137,4.74,5.893600785,3,0.791601298,12.54308748,0.962130415,1.482388674,7
17,2016,2019,4,700,0.006645963,13.36,8.544999248,3,0.838133268,13.5803986,1.212376414,1.205742571,4
17,2016,2020,5,331,0.000434783,3,2.99142601,4,0.947439539,14.61268532,1.330010817,1.366667334,20
17,2016,2020,6,357,0.000745342,1.96,2.779573528,4,0.93863408,14.53033837,1.286914961,1.379344586,20
17,2016,2020,7,280,0.003540373,2.42,2.046791962,4,0.795394863,15.9123378,1.187487082,0.574861295,4
17,2016,2020,8,424,0.005962733,14.25,5.449236635,4,0.996634175,10.35975126,0.846033585,1.754753053,15
18,2015,2019,1,452,0.00310559,0.77,3.397377227,4,1.209801421,12.85534195,1.557031992,1.414626288,70
18,2015,2019,2,679,0.005403727,0.76,2.521954446,4,1.236363654,11.90878792,1.557853603,1.334391101,90
18,2015,2019,3,719,0.006832298,0.96,3.779250145,4,1.202816786,12.11315483,1.552693292,1.430418357,90
18,2015,2019,4,668,0.007080745,0.45,3.452774141,4,1.098681674,10.49530649,1.406020787,1.882887148,75
18,2015,2020,5,348,0.002732919,2.5,5.358924459,5,0.909273582,14.75102409,1.201969734,1.128369083,7
18,2015,2020,6,340,0.000186335,1.97,2.780150699,5,1.22314128,13.65587507,1.498017971,1.409053858,56
18,2015,2020,7,488,0.004534161,0.55,2.818964673,5,1.131262943,10.44914942,1.362447659,1.828475948,60
18,2015,2020,8,664,0.005962733,1.55,2.452252203,5,1.185158614,10.39043302,1.424083979,1.643541075,80
