NMDS1,NMDS2,plant.year,year,age
1.403076719,-0.193443735,2015,2019,4
-1.121232173,0.100894724,2015,2019,4
6.652861784,0.614867495,2016,2019,3
1.343459342,0.279752654,2016,2019,3
3.615616562,0.086354628,2016,2019,3
3.449901042,0.281192285,2016,2019,3
-0.517340492,0.125801728,2016,2019,3
-3.376901828,0.172994175,2016,2019,3
-2.358152285,0.069248997,2016,2019,3
-0.740712706,0.006939598,2016,2019,3
0.339264692,0.256087012,2016,2019,3
0.211660366,0.188786686,2016,2019,3
2.346280872,0.356904759,2016,2019,3
-1.223625515,0.120273296,2016,2019,3
0.450618666,0.305484371,2016,2019,3
1.974731302,0.344087297,2016,2019,3
1.0139902,0.260401893,2016,2019,3
-0.022973233,0.016708616,2016,2019,3
0.831271387,0.344277654,2016,2019,3
-0.93828714,0.202551368,2016,2019,3
-0.501444692,0.450028336,2016,2019,3
3.831800955,0.402405713,2016,2019,3
1.853089165,0.330945623,2016,2019,3
2.064107924,0.292811912,2016,2019,3
-3.006360589,0.08323107,2016,2019,3
0.665023242,0.298800459,2016,2019,3
1.906312687,-0.125348022,2014,2020,6
2.278451969,-0.241897045,2014,2020,6
2.879167574,-0.442060045,2014,2020,6
3.209016595,-0.352463389,2014,2020,6
4.568769648,-0.028209788,2014,2020,6
4.540133952,0.182845903,2014,2020,6
3.282172489,-0.287269635,2014,2020,6
4.473800922,-0.102639467,2014,2020,6
0.938171055,0.190397508,2014,2020,6
4.645254287,0.112215283,2014,2020,6
2.54831188,-0.487842092,2014,2020,6
2.545795475,-0.498430965,2014,2020,6
4.053258728,0.312500252,2014,2020,6
4.429921025,0.53915312,2014,2020,6
0.979492209,-0.38309627,2014,2020,6
1.101780192,-0.469786739,2014,2020,6
2.476917782,-0.493889507,2014,2020,6
2.384149558,-0.510157932,2014,2020,6
2.667437981,-0.453621812,2014,2020,6
2.231731926,-0.482017328,2014,2020,6
-0.519474003,0.564033849,2014,2020,6
1.889932935,-0.084159853,2014,2020,6
4.481658352,-0.024467969,2014,2020,6
3.375540136,-0.109666897,2014,2020,6
2.633187802,-0.220903573,2015,2020,5
2.625423905,-0.312579106,2015,2020,5
1.525906378,-0.396130771,2015,2020,5
0.249238692,-0.306553864,2015,2020,5
7.055031697,0.509518797,2015,2020,5
3.980957041,-0.111733307,2015,2020,5
3.007486761,-0.110322202,2015,2020,5
3.671701883,-0.226115794,2015,2020,5
-1.190247055,-0.005246662,2015,2020,5
-0.08810022,-0.405499319,2015,2020,5
3.115560948,-0.222257501,2015,2020,5
3.175494211,-0.299864439,2015,2020,5
6.833208893,0.48015562,2015,2020,5
6.688657524,0.455173671,2015,2020,5
4.25833993,-0.027081613,2015,2020,5
2.411623834,-0.146803596,2015,2020,5
0.149477027,-0.299485677,2015,2020,5
2.426690401,-0.328350885,2015,2020,5
2.135581529,-0.368811409,2015,2020,5
3.836671291,-0.159855855,2015,2020,5
-0.000706501,0.017343504,2015,2020,5
-2.66564768,0.287625058,2015,2020,5
3.28556698,-0.1283755,2015,2020,5
5.670520813,0.254108049,2015,2020,5
6.293709602,0.445377492,2016,2020,4
4.526760822,0.643678785,2016,2020,4
1.500184139,0.661529969,2016,2020,4
0.460400069,-0.067364675,2016,2020,4
-2.370913977,0.104470246,2016,2020,4
